Time,Label (advanced/hard fault),Label (advanced/soft fault),Label (advanced/controller fault),Label (common/hard fault),Label (common/soft fault),Label (common/controller fault),Label (common/all),Label (common/hard and soft),LS701,LS702,T701,T702,T703,T704,T706,T708,T709,T711,T712,T705,FT703,FT704,PDI701,PDI702,PY23,FYI702
10:31:41,0,0,0,0,0,0,0,0,1.0,1.0,271.1,70.0,59.0,66.0,65.1,60.3,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.6,699.5,4.9
10:31:42,0,0,0,0,0,0,0,0,1.0,1.0,271.1,70.0,59.0,66.0,65.1,60.3,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.5,698.8,5.5
10:31:43,0,0,0,0,0,0,0,0,1.0,1.0,271.2,70.1,59.0,66.0,65.1,60.3,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.4,697.8,4.9
10:31:44,0,0,0,0,0,0,0,0,1.0,1.0,271.2,70.1,59.1,66.0,65.1,60.3,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.4,697.9,5.3
10:31:45,0,0,0,0,0,0,0,0,1.0,1.0,271.2,70.0,59.1,66.0,65.1,60.3,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.3,697.6,5.5
10:31:46,0,0,0,0,0,0,0,0,1.0,1.0,271.2,70.0,59.1,66.0,65.1,60.4,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.3,697.9,4.9
10:31:47,0,0,0,0,0,0,0,0,1.0,1.0,271.2,70.0,59.1,66.0,65.1,60.4,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.3,698.1,4.9
10:31:48,0,0,0,0,0,0,0,0,1.0,1.0,271.2,70.1,59.1,66.0,65.1,60.3,57.6,47.6,46.8,46.4,1.3,0.1,1.1,0.3,698.3,5.5
10:31:49,0,0,0,0,0,0,0,0,1.0,1.0,271.4,70.2,59.1,66.0,65.1,60.3,57.6,47.6,46.7,46.4,1.3,0.1,1.1,0.3,698.6,4.9
10:31:50,0,0,0,0,0,0,0,0,1.0,1.0,271.3,70.1,59.1,66.0,65.1,60.3,57.7,47.6,46.8,46.4,1.3,0.1,1.1,0.3,698.8,5.5
10:31:51,0,0,0,0,0,0,0,0,1.0,1.0,271.3,70.0,59.1,66.0,65.1,60.3,57.7,47.6,46.8,46.4,1.3,0.1,1.1,0.4,698.9,5.8
10:31:52,0,0,0,0,0,0,0,0,1.0,1.0,271.3,70.1,59.1,66.0,65.2,60.4,57.7,47.6,46.8,46.4,1.3,0.1,1.1,0.4,698.9,4.6
10:31:53,0,0,0,0,0,0,0,0,1.0,1.0,271.4,70.2,59.1,66.0,65.2,60.4,57.7,47.6,46.8,46.4,1.3,0.1,1.0,0.5,699.1,4.9
10:31:54,0,0,0,0,0,0,0,0,1.0,1.0,271.5,70.2,59.1,66.0,65.1,60.3,57.7,47.6,46.8,46.4,1.3,0.1,1.0,0.4,699.0,5.5
10:31:55,0,0,0,0,0,0,0,0,1.0,1.0,271.4,70.1,59.1,66.0,65.1,60.3,57.7,47.6,46.8,46.4,1.3,0.1,1.1,0.4,699.3,4.9
10:31:56,0,0,0,0,0,0,0,0,1.0,1.0,271.4,70.1,59.1,66.0,65.1,60.4,57.8,47.7,46.8,46.4,1.3,0.1,1.1,0.5,699.4,5.5
10:31:57,0,0,0,0,0,0,0,0,1.0,1.0,271.5,70.2,59.2,66.0,65.2,60.4,57.8,47.6,46.8,46.4,1.3,0.1,1.2,0.5,699.6,4.9
10:31:58,0,0,0,0,0,0,0,0,1.0,1.0,271.5,70.2,59.2,66.0,65.1,60.4,57.8,47.6,46.8,46.4,1.3,0.1,1.1,0.5,699.7,5.5
10:31:59,0,0,0,0,0,0,0,0,1.0,1.0,271.5,70.2,59.2,66.0,65.2,60.4,57.8,47.6,46.8,46.4,1.3,0.1,1.2,0.5,699.7,4.9
10:32:00,0,0,0,0,0,0,0,0,1.0,1.0,271.5,70.2,59.2,66.0,65.2,60.4,57.8,47.6,46.8,46.4,1.3,0.1,1.2,0.5,699.7,4.9
10:32:01,0,0,0,0,0,0,0,0,1.0,1.0,271.5,70.2,59.2,66.0,65.2,60.4,57.8,47.6,46.8,46.4,1.3,0.1,1.1,0.7,700.1,5.3
10:32:02,0,0,0,0,0,0,0,0,1.0,1.0,271.6,70.2,59.2,66.0,65.2,60.4,57.8,47.7,46.8,46.4,1.3,0.1,1.1,0.7,699.8,5.5
10:32:03,0,0,0,0,0,0,0,0,1.0,1.0,271.6,70.2,59.2,66.0,65.2,60.4,57.9,47.7,46.8,46.4,1.3,0.1,1.1,0.7,700.0,4.9
10:32:04,0,0,0,0,0,0,0,0,1.0,1.0,271.6,70.2,59.2,66.0,65.1,60.4,57.9,47.7,46.8,46.4,1.3,0.1,1.1,0.6,699.1,5.5
10:32:05,0,0,0,0,0,0,0,0,1.0,1.0,271.6,70.2,59.2,66.1,65.2,60.4,57.9,47.7,46.8,46.4,1.3,0.1,1.1,0.6,699.1,4.9
10:32:06,0,0,0,0,0,0,0,0,1.0,1.0,271.6,70.2,59.2,66.0,65.2,60.4,57.9,47.7,46.8,46.4,1.3,0.1,1.1,0.5,698.0,5.5
10:32:07,0,0,0,0,0,0,0,0,1.0,1.0,271.6,70.2,59.2,66.0,65.2,60.4,57.9,47.7,46.8,46.4,1.3,0.1,1.1,0.4,698.4,4.7
